,train,val,test
58,246267_609996002,247517_580858001,245847_
59,246379_614335002,244377_631846008,244840_664618001
60,246377_613789001,245879_599365001,246176_605205001
61,246368_613703009,247705_588925005,245868_598891003
62,246389_614701002,245890_,246259_609521002
63,246444_615719010,247823_585837001,244337
64,244352_630624006,248111,245726_599802002
65,246434_618740002,246386_614573010,245040_666615008
66,244325_620612004,244381_621691016,247827_585855002
67,244429_623111010,245751_600150003,246384_614444002
68,244496_625656006,,
69,245132_626201002,,
70,245273_627374005,,
71,245275_627411012,,
72,245247_627345002,,
73,245278_627691002,,
74,245284_628547007,,
75,244319_629728012,,
76,244364_631524002,,
77,244394_631718009,,
78,244565_656451009,,
79,244612_657481010,,
80,245183_655848001,,
81,244514_656244015,,
82,244630_657362007,,
83,244521_656605010,,
84,245082_658290009,,
85,244637_658286001,,
86,244398_659401001,,
87,244411_659421011,,
88,244359,,
89,244509_662438007,,
90,244522_662475006,,
91,244345,,
92,244655_663828007,,
93,244634_663840003,,
94,244997_666623002,,
95,245060_668066002,,
96,245063_668272001,,
97,245071_669533001,,
98,244306,,
99,244422,,
100,244462,,
101,244486,,
102,244513,,
103,245371_683442002,,
104,245377_683801002,,
105,245400_684215001,,
106,245305_685908002,,
107,245304_685907001,,
108,245326_,,
109,245320_687141012,,
110,255358,,
111,255367,,
112,255290,,
113,255222,,
114,255283,,
115,255298,,
116,255296,,
117,255304,,
118,255322,,
119,255407,,
120,257311_767909001,,
121,257083_756942003,,
122,257117_758051001,,
123,257110_757591001,,
124,257139_759165001,,
125,257227_761551001,,
126,257251_762784004,,
127,257299_767142001,,
128,257331_768639030,,
129,258184_774707002,,
130,"258160_776839^1A,1B^A18",,
131,258142_778486026,,
132,"258111_781724^1A,1B^A23",,
133,258092,,
134,258076,,
135,258073,,
136,245838_603618004,,
137,245902_597605003,,
138,247092,,
139,247604_582391010,,
140,247595,,
141,247659,,
142,247679,,
143,247664,,
144,247688,,
145,248107,,
146,248212,,
147,247544_,,
148,247567_581184003,,
149,247594_582028001,,
150,245733_,,
151,247890_582952012,,
152,247749_,,
153,247896_583052002,,
154,247929_584280008,,
155,247804_585665001,,
156,247836_585998003,,
157,247678_587935004,,
158,247672_587919004,,
159,247638_589050003,,
160,247533_589234002,,
161,247870_590541002,,
162,247875_590507004,,
163,247859_590739001,,
164,247757_592172006,,
165,245910_597777001,,
166,248091_593426003,,
167,245067_669345006,,
168,248095_593423008,,
169,247899_593940011,,
170,247880_594370002,,
171,248078_593831002,,
172,245759_600249014,,
173,246108_,,
174,247520_594507001,,
175,245951_595842002,,
176,246534_,,
177,245741_598339001,,
178,245875_599072001,,
179,245746_600109001,,
180,245768_600601001,,
181,245826_603325008,,
182,245807_,,
183,245833_603526001,,
184,246101_604078002,,
185,246207_607225002,,
186,246212_607223001,,
187,246205_606941005,,
188,246234_608004002,,
189,246245_608572002,,
190,246269_610112001,,
191,246295_612677009,,
192,246326_613425010,,
193,244384_621852004,,
194,244341_621331012,,
195,244390_621990013,,
196,244404_622409002,,
197,244471_624333010,,
198,245166_626537001,,
199,245291_628725004,,
200,244302_629075002,,
201,244549_656452001,,
202,244660_664242008,,
203,244320,,
204,244454_660524001,,
205,244438_659956008,,
206,244755_664460002,,
207,244857_665672003,,
208,244930_666053001,,
209,245064_668422008,,
210,245047_667676003,,
211,244317,,
212,244348,,
213,244395,,
214,245334_678850005,,
215,245330_,,
216,245342_679861008,,
217,245344_681243008,,
218,245404_684803002,,
219,245294_685229001,,
220,245298_685444002,,
221,245310_687426001,,
222,257178_759622003,,
223,255246,,
224,255240,,
225,255230,,
226,255292,,
227,255314,,
228,255330,,
229,255347,,
230,255365,,
231,255372,,
232,255396,,
233,255420,,
234,255423,,
235,257041_755183017,,
236,257091_757122002,,
237,257136_758429021,,
238,257147_759391001,,
239,257210_760377016,,
240,257219_760848001,,
241,257240_762105016,,
242,257284_766219002,,
243,257276_765812004,,
244,257307_767762001,,
245,257303_767621001,,
246,257330_768882015,,
247,257588_769881030,,
248,257569_769642018,,
249,257045_772025026,,
250,"258117_781508^BD,1A^A24",,
251,258176_775163002,,
252,258173_775661003,,
253,"258158_777049^1A,1B^",,
254,258145_778210001,,
255,258065,,
256,258104_,,
257,"258102_782018^1B,1C^A18",,
258,258049,,
259,257956,,
260,257952,,
261,247599,,
262,247616,,
263,247631,,
264,247185,,
265,247390,,
266,248161,,
267,247709_584422001,,
268,247737_584727003,,
269,247762_,,
270,247697_588910002,,
271,247554_589092002,,
272,247743_588896002,,
273,247524_589290007,,
274,247511_589507002,,
275,247828_590980007,,
276,245892_,,
277,245926_597920014,,
278,245916_597895006,,
279,245736_598252002,,
280,245865_598718001,,
281,245854_598505011,,
282,245872_599034001,,
283,245754_,,
284,246262_609646018,,
285,246210_607375001,,
286,246264_,,
287,246278_610152008,,
288,246301_612364001,,
289,244367_621523007,,
290,244333_620629008,,
291,244485_624612002,,
292,245100_626023002,,
293,245232_626875001,,
294,245280_628189002,,
295,245283_628534010,,
296,244347_630464002,,
297,245086_659227002,,
298,245090_659261007,,
299,245091_659396008,,
300,245088_659285001,,
301,244415_659639007,,
302,244461_661194001,,
303,244487_661821007,,
304,244559_662856002,,
305,244534_662676002,,
306,244659_663992006,,
307,244841_664802002,,
308,244814_664614009,,
309,244990_666633009,,
310,245046_667438012,,
311,245043_667239002,,
312,245073_668784001,,
313,245075_669913005,,
314,244301,,
315,244335,,
316,244446,,
317,244433,,
318,244410,,
319,244499,,
320,244495,,
321,244523,,
322,245336_679087002,,
323,245372_683551004,,
324,245398_684212002,,
325,245301_685775012,,
326,245312_686086002,,
327,245328_686401015,,
328,245314_686838002,,
329,245323_686863004,,
330,245317_687252002,,
331,255253,,
332,255200,,
333,255220,,
334,255205,,
335,255213,,
336,255227,,
337,255270,,
338,255262,,
339,255281,,
340,255275,,
341,255266,,
342,255285,,
343,255300,,
344,255338,,
345,255302,,
346,255306,,
347,255318,,
348,255326,,
349,255334,,
350,255392,,
351,255383,,
352,257235_761811003,,
353,255403,,
354,255413,,
355,255415,,
356,255439,,
357,257057_755606001,,
358,257098_757129002,,
359,257123_758258026,,
360,257162_759402003,,
361,257071_757000001,,
362,257155_759390001,,
363,257202_760133001,,
364,257129_758260022,,
365,257183_759621001,,
366,257223_760850004,,
367,257243_762103001,,
368,257231_761586001,,
369,257247_762796006,,
370,257268_764947001,,
371,257263_764946001,,
372,257292_766617009,,
373,257317_,,
374,257337_768917030,,
375,257339_769244028,,
376,257334_768916037,,
377,257581_769882024,,
378,257981,,
379,258187_774250001,,
380,258191_774208001,,
381,258180_774757002,,
382,"258169_776146^1A,1B^A25",,
383,"258162_776838^1,2A^A18",,
384,258155_777745002,,
385,258018,,
386,258139_778922002,,
387,258131_779591003,,
388,258136_,,
389,258127_780542002,,
390,257911_,,
391,257937_,,
392,257954_782676001,,
393,258099,,
394,257930_783706002,,
395,258095,,
396,258088,,
397,257921_784002001,,
398,258068,,
399,258053,,
400,258085,,
401,258060,,
402,258056,,
403,258024,,
404,258039,,
405,258036,,
406,258005,,
407,257971,,
408,257995,,
409,245092_625837004,,
410,246260_,,
411,247570,,
412,245953_595964002,,
413,247060,,
414,247534,,
415,247079,,
416,247558,,
417,247582,,
418,247572,,
419,247589,,
420,247921_583842009,,
421,247198,,
422,247651,,
423,247278,,
424,247670,,
425,247302,,
426,247325,,
427,248080,,
428,248105,,
429,248139,,
430,248126,,
431,248134,,
432,248243,,
433,247553_580536001,,
434,247868_586692011,,
435,247538_581033009,,
436,247600_,,
437,247586_581653001,,
438,247609_582573002,,
439,247874_582429001,,
440,247885_,,
441,247914_583656009,,
442,247910_583436008,,
443,247906_583209001,,
444,247909_583371001,,
445,247916_583819010,,
446,247923_583981002,,
447,247628_587329002,,
448,247735_584596010,,
449,247797_,,
450,247767_585171002,,
451,247532_594821001,,
452,247815_585691010,,
453,247617_587008002,,
454,245878_599128009,,
455,247864_586605002,,
456,247613_586733002,,
457,247858_586583010,,
458,247642_587400008,,
459,247623_587181003,,
460,247662_587732002,,
461,247653_587622001,,
462,247707_588309002,,
463,247519_589374003,,
464,247741_589068011,,
465,247505_589671001,,
466,247491_590104009,,
467,247863_590674002,,
468,247857_590734012,,
469,247779_591715008,,
470,248099_592218001,,
471,245870_598870008,,
472,248096_592282001,,
473,248057_593814001,,
474,248079_593590009,,
475,247892_594249012,,
476,248039_593930001,,
477,247525_594527002,,
478,245940_,,
479,245942_595419001,,
480,245946_595698008,,
481,245949_595809002,,
482,245884_,,
483,245887_,,
484,245815_603147010,,
485,245893_,,
486,245898_597463001,,
487,245897_,,
488,245930_,,
489,245731_598143001,,
490,245901_,,
491,245722_598092001,,
492,245718_,,
493,245737_599922001,,
494,245749_600148002,,
495,245773_600913006,,
496,245757_600241008,,
497,245778_601234001,,
498,245742_600112001,,
499,245775_600932001,,
500,245777_600957002,,
501,245790_601954009,,
502,245800_602496001,,
503,245796_,,
504,245813_603128002,,
505,245811_,,
506,245853_603804007,,
507,245820_603312003,,
508,246114_604414001,,
509,246151_,,
510,246171_,,
511,246180_605374003,,
512,246502_,,
513,246187_605373002,,
514,246216_606194001,,
515,246222_605713003,,
516,246199_606365002,,
517,246208_607838001,,
518,246236_608216002,,
519,246248_,,
520,246271_610147002,,
521,246277_610143001,,
522,246362_613611002,,
523,246374_613784007,,
524,246372_613623002,,
525,246474_615219002,,
526,246460_615361001,,
527,246393_,,
528,244468_624112001,,
529,244321_620632001,,
530,244313_620528012,,
531,244336_621351002,,
532,244375_621723008,,
533,244354_621532002,,
534,244441_623287010,,
535,244460_623941014,,
536,244481_624604001,,
537,245141_626541007,,
538,245226_626860003,,
539,245287_628721002,,
540,244358_631336010,,
541,244579_657493002,,
542,244451_659993003,,
543,244464_661415003,,
544,244603_663832002,,
545,244931_666055002,,
546,244939_665864003,,
